% fc fy E
5.26905 63.2124 27183.4
6.08635 61.1019 33579.6
6.042 55.1805 30178.1
4.79928 57.9057 32497
6.31936 51.1734 29916.3
4.63387 65.7357 27764.9
6.33515 54.2575 26186.4
5.48489 59.1384 34894
6.52043 67.4757 30043.5
6.78601 62.0512 31949.9
5.20094 58.4262 32540.4
5.16093 57.3731 32773.8
6.42878 58.4003 34732
5.29109 63.2526 31939.3
4.9751 56.8598 32872.7
6.05878 57.8309 30513
6.62215 58.8265 27429.8
6.89903 62.0284 28849.9
5.3022 61.2476 27373.1
5.25202 45.8313 32983.4
7.10524 56.9585 27209.7
6.95314 57.3033 30345.7
6.19829 59.5777 25718.6
6.74725 71.2287 32381.2
6.12577 58.6109 28162.2
6.32964 57.7201 26243.6
6.93857 58.9349 27884
5.13109 62.8456 30718.1
5.77441 51.9559 26575.7
5.78665 70.4941 31007.6
5.89726 62.2864 24971.3
6.02964 64.0391 29923.1
5.62029 64.9339 30301.2
7.04561 62.3044 27157.9
5.43927 62.9336 30029.9
4.90065 55.0826 29934.3
5.76293 62.5432 30143.8
5.25925 48.2684 29111
5.73608 58.8715 35650.6
4.50315 62.9216 26955.1
6.66369 55.2916 27553.9
5.79668 57.2397 29796
5.55517 61.2779 24765.7
6.88363 55.6095 25391.2
6.12816 59.5565 30585.4
6.47805 50.935 26716.6
5.10864 61.699 34340.1
5.39526 54.8287 34432.4
6.18876 65.1789 32099
6.41742 62.8089 37488.4
6.38667 68.7681 27260.8
5.94359 63.5672 35906
4.55864 55.5862 30186.2
6.48561 58.4973 30125.8
5.8254 53.3853 33953.1
5.333 53.2039 29943.4
5.8307 59.9942 31960.5
5.69047 58.4049 32348.9
5.46291 59.4918 33852.3
5.82735 57.3911 31664.8
6.01686 62.3501 30785.5
6.22778 61.9109 33007
5.9768 48.4439 29254.2
6.43584 58.9246 37167.8
6.19294 58.2571 30498.5
4.94804 53.7963 34411.1
5.93254 70.1439 28862.9
5.23114 57.0686 27389
5.56985 73.2414 32826.3
5.72356 62.3308 29435.8
5.91976 59.197 30556.6
4.96133 50.1091 29881.2
5.89946 61.4355 29201.7
5.83556 62.6033 29223.5
6.11173 57.9298 33182.1
5.6068 53.9289 30972.4
5.17839 66.8926 28410.8
5.87947 62.1415 30239.5
5.63739 63.7238 27948.6
5.58819 65.3083 29326.2
5.95574 51.3406 28290.9
5.67429 59.4138 29660.2
6.11666 63.4287 30200.1
4.95512 62.5758 26045.2
5.93051 64.2589 32087
6.06499 61.6017 29981.2
5.3089 65.0806 31164.1
5.67109 68.5933 29689.8
5.2182 53.8976 35014.9
6.44383 63.7876 31081
5.13558 58.6783 24268.8
4.74905 47.6625 31425.7
6.21693 66.9064 31495.5
6.34445 44.988 30546.2
7.11512 59.0433 29355.8
5.53703 53.2611 28542.4
6.98079 57.6174 31445.6
5.73079 59.8036 28204.5
6.25441 64.7141 33770
5.4687 56.4726 33150.6
5.71895 55.5088 32791
6.62537 53.3107 31055.4
5.77313 58.2108 29892.5
5.25086 62.7383 30271.6
5.66782 64.6142 31684.5
5.92852 65.7166 34971.9
6.82102 52.9508 28631.3
6.95916 56.3989 31141.9
7.1853 49.4253 32585.1
5.9419 72.4948 29495.8
6.99459 63.704 31071.8
5.06547 69.3559 32492.3
5.78366 64.5655 26154.2
5.76754 53.8396 29834.5
6.2387 50.7513 29994.2
5.86238 51.1078 29555.5
6.18572 51.5894 29842.6
6.57331 56.5721 25309.1
5.20684 59.6933 29482.1
6.48093 53.6134 28922.9
5.43164 59.0196 23232.6
6.26958 55.9512 26346
5.44866 65.488 26436.8
5.14058 56.6187 33599.4
5.62506 61.1289 27850
6.43012 57.1252 26815.1
6.34872 53.2331 27758.9
6.5665 61.5023 33609.5
6.90372 50.2507 27240.7
7.44226 67.258 29050.8
5.00649 61.7807 26681.1
6.39257 70.8792 29700.1
5.94816 60.4992 29930.1
6.21356 56.8236 25556.7
5.95788 60.58 27006.6
4.86739 58.3601 34273.8
6.11317 65.055 31599.4
6.38976 67.7024 35262.1
6.39374 50.9141 28764.5
6.73881 71.1455 25958.1
5.88825 54.0871 29386.6
6.45216 56.2019 29619.8
5.90969 53.0667 28038.3
6.45109 62.4197 26361.6
5.58012 56.5044 29132.2
5.96576 68.2666 29903.2
5.96811 72.1953 25768.1
5.57891 58.6265 30461.5
5.74695 57.8 27361.8
6.62076 67.166 31180.1
6.10713 60.0321 29167.3
6.94497 55.3757 28806.2
4.82854 61.8179 27514.2
6.19991 71.6375 31190.4
5.62239 54.0543 33206.8
6.31069 58.5721 30528.7
5.90173 57.4295 30878
6.06258 60.5542 27672.1
5.40018 63.656 28363.3
5.37857 52.7878 36288.5
4.33217 73.6515 29266.1
6.29009 57.5858 30488.5
6.93748 71.3356 29362
5.78847 56.1454 35542.6
5.57142 64.7887 30351.2
5.8445 65.4473 24698.7
6.91226 63.1035 33414.1
6.63748 63.7667 34368.4
5.71026 56.2334 27628.4
6 63.739 28087.7
6.986 49.0638 26974.7
5.62387 63.8414 28773.2
6.59092 58.5779 25228.2
5.44762 70.0935 31271.1
5.23476 54.7798 29393.1
6.36884 69.2533 31519
5.74346 65.0332 31049.3
6.81948 56.9498 27858.4
6.29296 55.2663 31642.4
6.1593 54.8582 28996.9
6.04366 57.6428 30403.4
5.9064 54.9647 30419.2
5.58219 60.0072 25002.4
6.84353 56.3241 28687.1
6.33985 62.371 29808.7
6.04565 67.0542 33701.6
5.6541 59.5288 32834.1
5.99501 62.7464 30033
5.01826 67.1836 31612.3
6.06867 53.9725 30365.1
6.37496 56.0423 32523.7
5.18848 47.8552 28719
5.49206 61.0188 27058.4
6.095 58.3453 29489.3
6.59424 60.3603 28995.7
6.24771 57.2027 28210.8
6.42679 50.4883 28739.7
6.81533 64.6378 32854.9
5.22463 60.7107 33334.8
4.93493 54.57 31717.9
5.57259 74.5403 32053.9
5.45749 58.5155 29731.6
6.03122 67.7811 29709.3
7.6954 64.7225 31429.6
6.14462 67.0429 28553.3
6.5933 68.0203 26628.4
5.84135 53.5311 32004.8
6.0344 59.8926 28843
6.64775 64.5025 31815.9
5.52033 56.1903 29278.4
6.53453 68.4019 30897.8
6.22489 58.6901 31920.5
5.40748 51.6784 33427.8
6.6994 59.3814 34758.3
5.88341 71.7983 27517.8
6.86911 51.018 36058.1
6.8751 60.5271 30220.8
6.54343 59.982 30537.2
5.67941 67.4956 31927.6
6.75186 54.7225 29043.4
6.41895 61.4007 28796.9
5.89133 61.6903 32630.8
5.88352 42.0755 34388.7
5.96454 55.4294 31785
6.22879 58.3275 28475.3
6.96716 65.1124 27052
5.95682 57.7249 27714.5
6.18788 59.9678 25147.2
6.2678 66.946 27328.5
5.95476 58.1672 30212.6
5.45775 48.7588 28458.8
6.58032 63.8807 30795.8
5.79945 68.7467 31441.5
6.61183 62.1995 25422.2
6.35571 59.9437 24854.6
6.82554 61.0374 30067.8
6.6271 66.0597 28625.6
5.96271 66.0698 28388.8
5.92666 57.6355 29398.3
5.80825 75.3214 30966.5
6.07795 60.1868 34645.7
6.60182 58.4675 33518.2
5.88707 63.0264 33376.5
5.78231 64.1844 29232.6
6.01629 64.6826 34592.3
5.66115 57.2632 35777.3
5.1018 78.1759 30628.1
5.71159 66.6542 27944.1
6.01065 63.3837 31285.9
5.87187 60.4386 35876.6
6.44178 61.7299 26703.9
5.81713 63.402 28726.6
6.33694 63.2456 32650.8
6.25074 50.8656 27200.7
5.76092 62.7136 27803.5
5.2927 59.267 32959.5
7.13407 66.1437 31535.1
5.41225 61.413 25106.6
5.8027 56.3909 30603.6
6.27239 52.7201 33337.2
5.64211 50.0482 34076
5.31861 66.1029 26128.4
6.23317 57.8053 25062
6.37801 54.1614 28701.8
6.01377 60.0577 32240.9
5.07508 58.8902 22219.8
5.541 61.1417 23434.9
5.41639 64.3611 26234.1
6.08036 63.6643 30312.1
7.25598 55.1241 31999.3
7.1995 58.2441 33033.8
5.65751 60.6434 31002.9
6.5033 57.8896 28018.4
5.63013 47.9551 28030.2
6.17989 63.5763 34248.6
5.03586 63.5411 29090.6
5.18516 69.8265 34048.6
6.30674 54.7607 26302.3
4.87738 58.7325 29213.8
6.32385 57.4474 26101.7
6.4034 62.781 32737.2
6.98709 47.4508 31466.3
6.19624 61.9939 27734.3
5.61947 60.6146 23569.5
6.32549 69.4963 36899.3
4.96966 53.7472 31340.9
5.92086 70.0072 27477.2
4.60626 60.5205 22651.2
4.89216 64.2122 31017
6.26398 63.1786 28091.8
5.38673 63.9924 27317.6
5.75018 65.7684 29533
5.6762 72.425 32340.3
5.59315 59.8659 27789.3
6.40077 54.0581 28929.9
6.46375 57.4737 32259.1
7.00777 67.3837 31307.6
6.67245 55.3564 24604.6
5.27223 53.8688 33880.5
5.98434 46.6725 32664.5
5.40117 56.7509 27448.4
6.73258 56.8899 27569.5
7.21204 59.9336 30814.2
5.9111 56.7183 33978.2
5.90862 52.3663 26500.3
5.62834 53.3793 26755.7
5.50542 66.4018 31125
6.54947 64.3536 29550.1
5.83776 56.002 32575.7
5.76 71.9585 34858.6
4.74097 56.4218 28823.6
5.48155 55.957 28240.3
5.7786 59.3643 37950.4
5.60277 61.4656 28245.3
4.92159 66.7858 29646.5
5.60886 62.8341 31156.5
6.10969 55.01 26399.1
5.51566 57.7703 23516.2
5.7757 63.8611 32725.4
5.42217 61.554 34018
6.84099 65.3577 32530.4
6.27205 52.4134 27303.2
5.29959 55.6495 25920.7
5.51744 60.2784 32701.7
6.7352 52.487 25647.3
7.08374 56.1139 29411
5.74885 60.2939 36008.5
6.42348 52.4705 30831.6
6.20907 66.4839 30613.9
5.85561 57.983 32204
5.9157 55.9048 35725.4
6.42463 70.6531 31347.4
5.46973 62.0571 30632
5.97038 51.2172 29751.4
6.07642 69.005 25019.9
5.6108 58.3099 24933.2
6.44657 58.703 29768.7
5.15188 61.9331 35229.3
6.43794 59.6566 32246.6
5.5192 63.9422 30708.6
5.56212 63.7739 29681.1
6.16223 50.7202 24108.1
5.17389 71.3871 32696.2
6.76957 65.8393 33509.6
7.56178 68.6797 30981.4
5.52995 61.6516 31372.9
6.10316 57.7041 29366.5
7.27086 65.567 30825.4
5.98314 72.7909 29335.4
6.28207 50.2291 24895.7
5.71429 67.4328 33194.2
5.6044 54.3412 31253.6
6.0245 58.4533 33546.8
4.27284 66.8506 32681.9
5.13803 65.0146 23044.5
5.75503 68.4798 26646.7
6.89124 66.6432 32952.7
5.97922 69.4036 28349.7
6.91579 48.0713 26068.8
5.82258 67.9046 32921.9
5.84273 63.6154 29470.5
6.24283 61.3777 31392.2
6.64119 54.4796 28264.6
6.36987 58.9067 31221.8
5.87414 66.2302 27877.7
5.54713 62.3179 32015.1
6.25819 55.9885 28301.5
5.50042 61.5812 27275.1
6.45903 56.4385 31708.9
6.80915 55.765 26797.8
5.72938 59.2155 26759.9
6.55622 59.8196 30992.1
5.24525 66.7161 27163.9
5.34351 67.7563 30942.6
5.86422 52.2128 31653.7
6.08502 63.4083 28592.5
5.84947 59.862 25761.3
6.13597 68.0972 30440
6.10127 65.8809 26418.2
6.39857 59.5928 31021.7
5.27714 60.2467 30868.9
7.32256 66.9608 30764.2
5.76646 48.6384 31210.1
6.60563 66.3363 25627.1
6.48628 49.5523 31832.2
6.01049 64.0902 31509.7
5.34799 58.589 29961.1
7.53913 67.2883 31400
6.45365 61.4559 23879.7
6.18473 55.2344 34519
6.88023 62.5661 34318.3
5.71442 60.6749 27660.4
5.09134 63.1171 32550.4
6.083 61.051 27987.9
5.81123 61.7481 33107.8
6.49381 62.9547 30613.2
5.32712 48.1418 24538.3
5.22944 57.4236 31475.8
5.61508 67.8306 27929
5.89371 65.3961 27815.3
6.05039 60.9035 28130.5
5.42597 60.5908 33643
5.8311 58.0676 31122.6
5.70446 55.2557 35443.6
4.88797 62.1618 32214.5
5.79318 51.8861 31289.9
5.72475 59.4447 33864.1
6.5603 57.8369 28225.8
5.83505 49.7089 24670.2
5.03472 64.7382 28334.1
7.23002 60.4774 29300.5
6.30044 61.9717 29509
7.00307 61.8871 32216.8
5.87789 57.8786 32885.3
5.75741 58.5515 26779.4
5.78593 54.9858 29194.5
4.97839 70.334 32122.3
5.55818 60.2209 28188.4
4.64928 52.3223 31383.6
6.66593 54.8646 29598.6
5.21685 62.9695 28691.1
6.26194 55.3996 26722.6
4.71924 49.2483 27532.9
6.97113 61.805 33072.8
5.6975 57.1859 28316.1
6.14283 54.3933 26032
5.93199 61.871 25989
6.29862 65.4387 27442.3
5.99161 65.2014 28755.8
6.38256 56.8863 25891.1
6.517 57.9246 30048.8
6.20345 54.4952 26280.3
6.25264 56.3556 32388.5
6.24183 48.9839 23982.1
6.69618 55.0372 28116.8
5.51387 69.5943 28915.5
5.35754 53.4939 27572.2
7.01655 55.1131 32324.4
5.65627 46.1334 28833.7
6.10475 51.7462 26586.2
6.48196 65.599 27731
6.33264 65.2003 29066.2
6.43347 68.2103 28858.6
6.70685 60.7487 33835.6
5.74565 58.6512 34615.7
5.42339 61.218 29719
5.86027 68.3726 27918.9
5.67676 60.023 27704.9
7.19261 55.4616 32168.1
5.8188 61.0778 29821.7
5.9608 51.9964 21783
6.55527 64.4427 39242.3
6.66763 64.0478 29454.7
5.0123 59.7304 23196
6.04707 69.6918 28143.1
6.49753 61.8331 26505.7
5.38563 61.7918 28433.4
5.50145 55.7144 34126.1
6.36143 57.3182 34225.7
5.68548 59.9012 32032.7
6.36763 46.4482 30093.1
6.17303 57.353 28012.8
5.5348 57.4056 26454
5.97825 60.1633 33813.4
6.18063 64.1744 31862.1
5.24014 49.4332 33481.8
6.07452 62.4283 32315.1
6.56958 55.497 28436.6
5.14482 59.2234 28515.8
5.41878 66.8185 29129.5
5.02358 64.8263 31573.5
6.86012 56.1592 38497.6
6.4603 63.2689 26217.1
6.10013 54.737 29640.2
7.16597 65.2355 34335.3
5.02502 56.6349 31737.8
6.30913 57.4928 27899
5.93497 62.397 29443.1
5.42962 62.2718 30136.8
7.02138 59.3962 25254
4.91618 65.8051 31774.7
6.58645 52.2064 27985.3
5.59396 58.22 30052.7
4.80848 55.3432 29153
5.41493 66.5915 31322.5
4.7729 63.4888 30639.1
6.53945 63.0195 33693.7
4.90941 63.4728 29523.7
5.83902 59.1422 32401.7
5.85098 61.1081 28665.3
5.78134 77.2385 28560.3
5.37135 68.9668 32458
5.36987 70.4128 35947.2
5.70375 69.4773 25606.1
6.68091 55.7515 31645.1
5.48641 53.7156 28600.5
6.60667 58.7683 32131.3
6.40796 62.5182 26487.2
6.71106 66.6851 26205.1
5.35424 58.0525 27287.6
5.65284 54.693 32513
6.45537 71.049 28509.2
5.51086 58.7479 30304.8
5.64806 57.8609 33012
5.58396 57.5671 27383.4
6.34791 64.8965 25337
6.05609 52.8937 21719.9
5.9505 59.6344 30778.4
6.01892 60.8173 29851.3
6.17675 65.9306 30423.1
5.29531 54.67 26560.4
5.80217 57.3309 25265.2
5.49024 54.3774 27840.9
6.67698 59.714 27290.5
6.30392 61.1539 33164.9
6.50049 63.8428 29189.2
6.32202 67.9718 31155.5
5.57626 60.3038 29418.2
6.18193 60.0864 27020.1
6.05188 59.7225 32438.6
5.28467 69.8851 28050.8
6.47004 64.021 32675.2
5.52634 59.4052 33998.2
6.15089 56.231 30662.7
6.30538 56.9872 34165
6.58889 60.8791 29812.2
6.13315 68.7193 31456.7
6.04018 51.9303 32801.4
5.55286 60.0741 33242.5
5.46565 61.9873 24728.8
6.44876 61.3386 32226.5
7.3533 66.463 30701.8
6.12193 70.5141 33287.7
5.65944 69.3182 33568.9
6.02201 43.7354 27337.6
6.50871 57.1634 25574.4
5.4984 37.484 26652.5
6.1632 55.9295 27633
6.09353 59.063 31299.8
6.24042 74.8788 26923.9
5.25539 66.5871 33130.8
5.34374 57.9733 35365.8
6.92048 60.2267 29565.8
5.90459 76.0839 25939.7
5.64927 56.258 30449.6
6.31597 53.5946 31845.4
6.06725 59.5419 32035
5.75163 59.4706 29973.6
5.85576 66.3147 29231
5.28673 58.194 22970.1
6.71879 57.9576 31315.5
6.34399 62.9824 27597.9
6.52535 52.2923 27038.1
6.02309 64.4637 29027.2
5.63273 58.0211 35507.3
6.02796 57.0935 27686.7
7.74967 61.9521 30498.7
4.70836 58.9946 32723.2
5.52819 56.6044 26897
6.74199 66.5475 26886.2
7.09117 63.5071 28782.7
6.65794 62.6149 33121.6
5.67186 62.1054 29738
5.66816 59.0809 28532.2
6.03725 55.6834 26800.2
6.37314 47.2368 28310.6
6.75593 71.5157 30924.9
5.69114 55.1532 28149.7
6.05786 58.1103 36607.5
6.27894 61.5482 39595.5
6.33821 51.6181 37035.9
4.99835 51.2628 35596.2
6.5195 53.6945 32428.9
6.14225 42.9358 36466.8
5.92603 62.6757 31855.8
5.94043 53.6468 29035.2
6.58309 65.5053 22356.9
5.3139 62.1869 28936.2
6.24528 63.5249 33935.1
6.65484 57.4921 25701.7
6.57704 59.1834 23403.9
6.71593 61.1928 32273.1
6.43985 53.7766 31669.9
6.25577 60.2047 26904.5
6.17126 65.6152 26331.6
6.40539 63.3376 31728.8
5.70917 65.3552 26849.6
5.73948 61.2072 27702.7
5.53171 64.5342 30647
6.35322 63.5983 33650.3
5.69951 57.0279 28480.3
4.76584 58.0976 29376
5.73256 64.4831 31776.3
6.12892 61.2268 30567.9
5.71744 58.1241 33529.2
5.79812 53.2912 29099.9
6.37597 51.0924 29144.4
6.08875 61.7689 32841
5.61689 73.4564 27960.4
5.38922 65.413 32069.4
6.05479 63.0458 34453.6
6.09192 61.064 31986.6
6.80717 57.2818 30409.2
5.64469 50.9982 27900.6
6.68729 54.5774 32192.9
6.03171 53.554 25785.7
6.85455 55.2177 29006.9
5.98805 60.9511 29665.7
5.54423 68.5464 25491
6.69541 56.7007 28426.7
6.79347 66.2602 30002.1
5.47379 60.929 27091.1
6.4151 56.1386 30393.1
6.12539 67.6009 29079.7
5.31714 53.1839 30254.5
4.84272 52.5267 28000.1
6.63214 58.721 32276.6
6.15679 57.1445 32908
5.53966 59.9164 28895.9
5.80973 60.8512 30458.5
6.76762 57.9997 27676.6
7.0238 62.4994 29570.6
5.21114 67.3334 28586.5
6.07384 57.5393 32618.3
6.14733 59.8174 36195.8
5.38238 62.6252 30803.4
5.83387 54.2459 29303.5
6.78174 63.8137 30245.7
5.24427 50.5886 30385.4
6.22363 59.1114 28791.5
6.04919 70.8614 30853.2
5.15544 64.7654 32043.3
5.90536 58.3851 31408.8
6.93172 55.4681 28450.7
5.26276 68.1857 27072.4
7.03108 55.634 31764.4
5.7771 57.0585 31415.4
5.16791 62.7056 28284.3
5.85196 51.8226 36303.4
5.05203 63.3551 25547.1
6.32718 50.3121 26375.6
6.92447 61.5339 28397.5
5.49573 52.1717 27144.6
6.12335 60.6995 28733.8
5.63885 49.3485 35328
5.98588 60.1277 30230.5
7.41769 62.8706 31235.5
6.3796 60.3929 33240.1
6.67581 50.563 29969.8
5.97426 49.8261 27109.5
6.28335 67.6349 30151.4
6.40098 53.111 29755.4
6.27618 59.4306 31828.6
5.86814 60.3656 30114.3
7.36151 56.301 28710.7
6.27817 49.9984 24128.5
6.06376 57.5971 34698.9
6.06999 60.8443 29828
5.77001 53.1273 35138.7
5.35149 51.7119 29054.6
5.69443 70.7232 31800.1
5.99609 67.9504 29865.7
4.55462 64.3753 25515
5.99837 56.0248 31328.2
6.88686 51.8664 30519
6.19153 59.6065 30533
6.86733 65.3339 26394.8
6.68414 68.4707 30752.8
5.82887 62.3778 28493.7
5.86527 50.1328 25868.7
6.6604 55.6019 29121.9
6.2039 64.116 29170.8
6.41191 51.4055 35636.3
6.17421 55.0289 30561
6.72333 52.7572 28072.8
5.49321 65.6538 24049.1
6.11588 55.5546 30735.1
5.59763 60.7713 32376.2
6.57187 64.1545 29626.2
5.91296 60.8741 25662.8
4.93681 50.4145 29347.1
5.44311 53.0057 32594.7
6.54776 71.9792 26110.6
5.88971 60.6314 24836.7
6.64482 56.3744 33783
7.23873 53.8134 30596.8
6.78832 63.0726 30657.8
6.52914 66.0006 25851.4
6.23468 63.9008 31908.2
4.98335 52.6508 31063.7
6.22188 65.5422 28496.9
6.28558 50.3601 30022
6.29428 58.7773 29633.1
6.13108 44.6069 27542.3
6.30212 72.6203 30888.1
7.15933 59.6181 31891
6.07111 59.2891 31625.3
6.90501 68.8579 28605.5
5.55014 46.6096 29456.5
5.40976 61.2887 30841
5.22112 52.5806 34516.3
5.8755 63.303 28967.7
6.72054 69.5594 29728.7
6.70415 64.296 30738.8
6.13663 63.9334 33222.7
6.76267 54.0147 32112.1
5.81996 72.9467 27610.3
5.56301 66.2933 33088.2
6.64941 52.5724 33278.4
6.20788 54.311 27002.5
5.52292 57.6839 28053.9
6.00448 73.7945 33721.9
6.21323 64.2802 29775.6
6.52335 52.0762 28976.8
5.94923 51.4873 30280.8
5.36286 63.0863 32305.3
6.14742 60.953 30919.6
5.06763 57.524 27492.7
5.95256 64.083 29260.3
5.84636 56.7817 30910.7
4.8461 56.5546 30477.9
6.47563 68.2845 32450.4
5.50852 53.4587 30816.5
5.76477 64.9146 28174.5
5.92351 62.6689 27459.4
6.23638 66.135 30379.9
4.45976 64.5998 32560.8
5.18352 50.6369 32466.7
6.29589 64.5729 33025.2
6.0079 52.6133 34565.3
5.4833 72.2885 27621.3
